isin,ticker
BMG4660A1036,HSHP
BMG491BT1088,IVZ
BMG4R86G1074,GDRZF
BMG507361001,JAR
BMG5150J1577,179
BMG524181036,636
BMG524401079,683
BMG5320C1082,135
BMG5321P1169,173
BMG5361W1047,LRE
BMG5370A1018,106
BMG5695X1258,590
BMG570071099,2186
BMG5700D1065,366
BMG5800U1071,MAWHF
BMG611881019,LBTYA
BMG611881274,LBTYK
BMG6144P1014,230
BMG6331P1041,AOSL
BMG6359F1370,NBR
BMG6389N1002,SO7
BMG653181005,N3Y
BMG657731060,NAT
BMG667211046,NCLH
BMG668971101,659
BMG670131058,OCIGBX
BMG6716L1081,OTL
BMG671801022,OD3
BMG677491539,316
BMG684371393,2343
BMG6901M1010,GIO
BMG6904D1083,PLSV
BMG6955J1036,327
BMG6964L2062,PSFE
BMG702782084,PDL
BMG709641044,1079
BMG7403L1046,1196
BMG7496G1033,RNR
BMG762791017,ROIV
BMG7738W1064,SFL
BMG7997W1029,P4F
BMG805AL1070,412
BMG8063F1068,SGA
BMG8086V1467,152
BMG8114Z1014,517
BMG812761002,SZ2
BMG8162K1137,460
BMG8181C1001,751
BMG8192H1060,SPNT
BMG8196H1280,1105
BMG8219Z1059,315
BMG8403G1033,297
BMG850801025,SN6
BMG8571C2494,1063
BMG864081044,31L
BMG8726T1053,TK
BMG8726X1065,TNK
BMG8770Z1068,321
BMG8800F1876,990
BMG889121031,TLSA
BMG9001E1021,LILA
BMG9001E1286,LILAK
BMG9031M1082,62
BMG9108L1735,TK41
BMG9156K1018,2020
BMG9231L1081,467
BMG9430N1039,169
BMG9456A1009,G2O
BMG9604B1090,305
BMG9716V1000,369
BMG988031446,551
BMG9880L1028,1052
BRBBDCACNPR8,BBDC4
BRBRAPACNOR5,BRAP3
BRBRAPACNPR2,BRAP4
BRBRKMACNPA4,BRKM5
BRCMIGACNPR3,CMIG4
BRGGBRACNPR8,XGGB
BRPETRACNOR9,PETR3
BRPETRACNPR6,PETR4
BRUSIMACNPA6,USIM5
BRVALEACNOR0,VALE3
BSP736841136,OSW
CA0002251027,AW
CA00036H1001,APKI
CA00089N1033,DRX
CA0010921058,AGF/B
CA0011811068,AGGZF
CA00135V1094,AIVC
CA00143Y1034,AIML
CA00149L1058,AJNEUR
CA00208D4084,ARX
CA00217Y1043,ATS
CA00248Y1079,AXO
CA00258V3083,36N
CA00288U1066,ABCL
CA00289A1093,ABM
CA00367M1086,AMQ
CA0037351073,ABND
CA00379L3048,ABRA
CA0042721005,ADN
CA00461M1032,ARA
CA00654B1040,ADCO
CA00654D2095,XTRX
CA0068131097,ADDY
CA00686A1084,ADEN
CA0074082060,ACT
CA00762V1094,ARE
CA0076361033,AQSZF
CA00783T1093,QESS
CA00784W1014,ADY
CA00791P1071,AAV
CA00792K1075,OYEUR
CA00810E2087,AETH
CA00829Q1019,AOI1EUR
CA00830W5019,AFE
CA00831V2057,AAG
CA0084741085,AEM
CA0089118776,AC
CA00900Q1037,AIM
CA0091204036,IQ
CA00927V2003,BOS
CA00956C1077,AISX
CA0115321089,AGI
CA01169F1018,AEMC
CA01176C1095,WAM
CA01559C1068,AGN
CA0156441077,ALC
CA0156581070,ASTL
CA0158571053,AQN
CA01626P1484,ATD
CA01643B1067,ALYAF
CA01921D2041,AAUC
CA0194561027,AP-U
CA0202833053,A4E1
CA02080J3055,AIC
CA0209361009,ALS
CA0211551068,GPUS
CA0212641066,ATCU
CA02137W2004,AVX
CA02139L1031,ALTA
CA02156R1082,APN
CA02157V1085,ARH
CA02210E1016,ALTU
CA02215R1073,AIF
CA02311U1030,AMRQ
CA02377G2045,WIFI
CA0249441001,KCLI
CA0272592092,LI
CA0287912004,USGD
CA0293642058,USLI
CA0303381077,TUNG
CA03062D8035,SZ7
CA0307361026,AMT
CA0307471098,AWCM
CA03074G1090,ARG
CA03090L1085,AMCO
CA03114B1022,AMX
CA03169D1024,AMMP
CA03421C1086,ANDC
CA03444Q1000,ADW/A
CA03464C2058,AEC
CA03634K2020,ANON
CA03634T1049,ANOR
CA0369271014,ATMY
CA03753D1042,APXC
CA03770A3073,APGO
CA03783P1018,API
CA03835T4081,APTOF
CA03879J1003,I9DN
CA03880B1040,ABR
CA03967T3091,ADD
CA03990C1095,0RW0
CA03990E1051,ARGH
CA0399441033,AGAG
CA04014D2068,ASL
CA04016J1021,ARQ
CA04017M2031,ARS
CA04021P1018,ARGO
CA04031A1021,ARGL
CA04035D1024,DAN
CA04040Y1097,ARIS
CA04045U1021,ATZ
CA04051N1096,AZS
CA04058Q1054,ASCU
CA0422791099,ARMY
CA04271V1058,ARK
CA04315L1058,AX-U
CA04336A1049,ARWY
CA04341X1078,ASE
CA04364G1063,AOT1EUR
CA04368A2048,ASEP
CA04624P1027,BAY
CA0467894006,ACO/X
CA0468241082,SASK
CA04764T1049,ATRL
CA0489241046,ATLE
CA04952E2087,ATMO
CA04964G1000,AI
CA05156F1071,AU
CA05156V1022,AUPH
CA05156X8504,ACB
CA05157F1062,AUMC
CA05207J1084,ACU
CA0521041065,ACR/H
CA05223F1062,AUST
CA05277B2093,ACQ
CA05334L1094,AUAG
CA05335P1099,XLY
CA05351M2040,AVM/X
CA05352C1068,AGC
CA05353D2023,AVNT
CA0539061030,ASM
